MJD,x_pole,y_pole,Type,UT1-UTC
41831,-0.118095,0.229488,final,0.3166201
41832,-0.117934,0.231303,final,0.3134398
41833,-0.117694,0.233139,final,0.3104640
41834,-0.117379,0.234992,final,0.3076727
41835,-0.116993,0.236863,final,0.3049837
41836,-0.116540,0.238747,final,0.3022809
41837,-0.116027,0.240639,final,0.2994605
41838,-0.115457,0.242537,final,0.2964705
41839,-0.114837,0.244437,final,0.2933252
41840,-0.114171,0.246337,final,0.2900913
41841,-0.113465,0.248234,final,0.2868582
41842,-0.112719,0.250128,final,0.2837086
41843,-0.111934,0.252018,final,0.2807024
41844,-0.111115,0.253901,final,0.2778733
41845,-0.110270,0.255779,final,0.2752317
41846,-0.109407,0.257646,final,0.2727668
41847,-0.108534,0.259501,final,0.2704483
41848,-0.107660,0.261339,final,0.2682287
41849,-0.106789,0.263159,final,0.2660491
41850,-0.105926,0.264961,final,0.2638477
41851,-0.105073,0.266747,final,0.2615698
41852,-0.104232,0.268520,final,0.2591741
41853,-0.103405,0.270285,final,0.2566369
41854,-0.102593,0.272047,final,0.2539551
41855,-0.101793,0.273810,final,0.2511461
41856,-0.101005,0.275578,final,0.2482491
41857,-0.100224,0.277355,final,0.2453232
41858,-0.099447,0.279143,final,0.2424429
41859,-0.098668,0.280943,final,0.2396828
41860,-0.097880,0.282755,final,0.2370944
41861,-0.097076,0.284579,final,0.2346823
41862,-0.096247,0.286416,final,0.2323922
41863,-0.095386,0.288266,final,0.2301216
41864,-0.094490,0.290126,final,0.2277557
41865,-0.093557,0.291991,final,0.2252119
41866,-0.092587,0.293857,final,0.2224729
41867,-0.091579,0.295718,final,0.2195902
41868,-0.090538,0.297569,final,0.2166607
41869,-0.089469,0.299404,final,0.2137885
41870,-0.088378,0.301219,final,0.2110549
41871,-0.087271,0.303008,final,0.2085047
41872,-0.086158,0.304768,final,0.2061493
41873,-0.085047,0.306492,final,0.2039750
41874,-0.083943,0.308178,final,0.2019501
41875,-0.082852,0.309819,final,0.2000285
41876,-0.081771,0.311413,final,0.1981521
41877,-0.080697,0.312957,final,0.1962575
41878,-0.079630,0.314450,final,0.1942844
41879,-0.078567,0.315892,final,0.1921851
41880,-0.077507,0.317282,final,0.1899311
41881,-0.076447,0.318621,final,0.1875170
41882,-0.075384,0.319907,final,0.1849610
41883,-0.074315,0.321140,final,0.1823037
41884,-0.073240,0.322320,final,0.1796035
41885,-0.072156,0.323446,final,0.1769293
41886,-0.071065,0.324518,final,0.1743483
41887,-0.069965,0.325537,final,0.1719096
41888,-0.068856,0.326505,final,0.1696270
41889,-0.067737,0.327421,final,0.1674656
41890,-0.066606,0.328285,final,0.1653434
41891,-0.065461,0.329100,final,0.1631514
41892,-0.064299,0.329866,final,0.1607898
41893,-0.063118,0.330584,final,0.1582066
41894,-0.061913,0.331256,final,0.1554181
41895,-0.060681,0.331884,final,0.1525044
41896,-0.059417,0.332471,final,0.1495778
41897,-0.058120,0.333023,final,0.1467448
41898,-0.056787,0.333541,final,0.1440777
41899,-0.055417,0.334029,final,0.1416050
41900,-0.054009,0.334487,final,0.1393192
41901,-0.052562,0.334918,final,0.1371881
41902,-0.051078,0.335322,final,0.1351648
41903,-0.049557,0.335701,final,0.1331923
41904,-0.048000,0.336058,final,0.1312073
41905,-0.046409,0.336395,final,0.1291470
41906,-0.044784,0.336714,final,0.1269571
41907,-0.043129,0.337017,final,0.1246002
41908,-0.041448,0.337308,final,0.1220622
41909,-0.039744,0.337589,final,0.1193548
41910,-0.038018,0.337862,final,0.1165163
41911,-0.036270,0.338131,final,0.1136071
41912,-0.034500,0.338397,final,0.1107006
41913,-0.032707,0.338664,final,0.1078680
41914,-0.030895,0.338934,final,0.1051613
41915,-0.029063,0.339212,final,0.1025971
41916,-0.027216,0.339499,final,0.1001482
